id,categorie,subject,urgence,synthese
46,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
47,Problème technique informatique,Panne majeure du système de production,Critique,"Email concernant une panne majeure du système de production, nécessitant une intervention immédiate pour résoudre le problème et minimiser les pertes."
48,Problème d'accès / authentification,Problème d'accès aux données sensibles,Critique,Problème critique d'accès aux données sensibles en raison d'un désactivation de compte utilisateur par erreur. Il est nécessaire d'intervenir rapidement pour rétablir l'accès.
49,Demande de support utilisateur,Demande de support pour un logiciel,Modérée,Demande de support pour résoudre un problème de gestion de données dans un logiciel de gestion de projet. L'utilisateur ne peut pas importer des données depuis un fichier Excel.
50,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié que son mot de passe est correct, mais ne parvient pas à établir de connexion. Il demande de l'aide pour résoudre ce problème."
51,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. Pas d'urgence.
52,Problème technique informatique,Interruption du service de téléphonie VoIP pour l'ensemble du bureau,Critique,"Problème technique de service de téléphonie VoIP critique pour l'ensemble du bureau, nécessitant une intervention urgente."
53,Problème technique informatique,Panne du serveur de messagerie interne,Critique,Email de Sophie Bernard concernant une panne du serveur de messagerie interne. L'urgence est critique car la panne bloque les communications internes et les échanges avec les clients.
54,Problème technique informatique,Erreur 500 lors de l'envoi de rapports mensuels,Élevée,"Le client Paul Martin rencontre un problème technique lors de l'envoi de rapports mensuels via le portail, avec un code 500 et un blocage après l'étape de validation des données. Il a tenté de soumettre depuis un autre navigateur sans succès. Il est nécessaire de vérifier si il y a un problème technique ou si le client doit suivre une procédure alternative."
55,Problème d’accès / authentification,Erreur d'authentification sur le portail intranet,Élevée,L'utilisateur Marie Leclerc a signalé un problème d'accès au portail intranet avec un message d'erreur d'authentification. Elle a essayé de réinitialiser son mot de passe sans succès. L'urgence est élevée car il s'agit d'un problème de connexion.
56,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Email de demande de mise à jour des coordonnées bancaires de notre compte fournisseur. La prise en compte de ces informations peut être confirmée.
57,Problème technique informatique,Interruption totale du service de messagerie interne,Critique,"Email concernant une interruption totale du service de messagerie interne, empêchant la communication interne et la gestion des dossiers clients. Une intervention immédiate est nécessaire pour rétablir le service."
58,Demande administrative,Demande administrative urgente : changement d’adresse de facturation,Élevée,"Demande d'urgence pour mettre à jour l'adresse de facturation de compte. Nouvelle adresse : 45 rue de la République, 75001 Paris. Retard de paiement possible si pas traitée rapidement."
59,Bug ou dysfonctionnement d'un service,Bug dans la génération du rapport mensuel,Élevée,"Il y a un bug dans la génération du rapport mensuel via l'application interne. Le fichier PDF s'arrête à la page 3 et ne contient pas les données de la colonne « Ventes ». L'erreur apparaît uniquement pour le mois de mai. L'utilisateur a essayé de rafraîchir la page et de vider le cache, mais le problème persiste. Il demande une solution temporaire ou une vérification du code."
60,Problème technique informatique,Problème d’impression sur le scanner de la salle B,Élevée,Problème d'impression sur le scanner de la salle B (numéro 12). L'appareil ne répond plus et affiche un message d'erreur. Une intervention technique est requise.
61,Demande d'accès / authentification,Demande de mise à jour de mon mot de passe,Faible,Demande de réinitialisation de mot de passe de connexion au portail interne. Pas d'urgence.
62,Problème technique informatique,Panne du serveur principal de l'entreprise,Critique,"Email concernant une panne du serveur principal de l'entreprise, nécessitant une intervention immédiate pour résoudre le problème et minimiser les pertes. Catégorie : Problème technique informatique, urgence : Critique."
63,Problème d’accès / authentification,Problème d'authentification sur le système de gestion de projet,Critique,Problème d'authentification urgent sur le système de gestion de projet. L'utilisateur a des tâches importantes à accomplir aujourd'hui.
64,Demande de support utilisateur,Demande de support pour un logiciel spécifique,Modérée,Demande de support pour un logiciel spécifique utilisé dans l'entreprise. L'utilisateur a suivi les tutoriels en ligne mais rencontre toujours des difficultés. Il demande de l'aide supplémentaire ou d'être mis en contact avec quelqu'un qui pourrait l'aider.
65,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a déjà redémarré son ordinateur et vérifié que son mot de passe est correct. Il demande de l'aide pour résoudre ce problème.
66,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations proposées par l'entreprise. Pas d'urgence.
67,Problème technique informatique,Panne du serveur de messagerie – interruption totale,Critique,Le serveur de messagerie interne est hors service depuis 15h30. Il y a interruption totale des émails en entrée et en sortie. Cela a un impact majeur sur les opérations commerciales et nécessite une intervention immédiate.
68,Problème technique informatique,Problème de synchronisation des contacts Outlook,Élevée,"Problème de synchronisation des contacts Outlook avec le serveur Exchange. Les nouveaux contacts ajoutés dans l'application mobile ne s'affichent pas sur le bureau, ce qui bloque les appels téléphoniques. Il est nécessaire de résoudre rapidement ce problème."
69,Bug ou dysfonctionnement d’un service,Erreur 500 sur la plateforme de facturation,Élevée,"Le sujet concerne un bug sur la plateforme de facturation générant une erreur 500, qui se produit uniquement pour les factures de plus de 5 000 euros. L'utilisateur a essayé de rafraîchir plusieurs fois sans succès. L'urgence est élevée car il s'agit d'un problème technique informatique."
70,Problème d’accès / authentification,Mot de passe oublié sur le portail intranet,Modérée,Demande de réinitialisation de mot de passe pour le portail intranet. Pas d'urgence.
71,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires de Jean Dupont. Le formulaire est joint.
72,Problème technique informatique,Panne réseau critique sur le site de production,Critique,"Problème critique de panne réseau sur le site de production, nécessitant immédiatement l'intervention de l'équipe réseau."
73,Problème technique informatique,Problème de synchronisation des contacts Outlook,Élevée,Email de Sophie Bernard concernant un problème de synchronisation des contacts Outlook. L'utilisateur a besoin de résoudre ce problème rapidement pour des raisons professionnelles.
74,Bug ou dysfonctionnement d'un service,Erreur 500 lors de l'envoi de rapports hebdomadaires,Élevée,L'utilisateur Paul Martin a signalé une erreur 500 lors de l'envoi de rapports hebdomadaires via l'application de reporting. Cela ralentit la diffusion des données aux équipes. Il est nécessaire de vérifier le backend ou de fournir une solution temporaire.
75,Problème d’accès / authentification,Mot de passe oublié sur le portail intranet,Modérée,Demande de réinitialisation du mot de passe pour le portail intranet. L'utilisateur a un problème d'accès depuis hier.
76,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires de Jean Dupont. Pas d'urgence.
77,Problème technique informatique,Panne généralisée de la plateforme de formation en ligne,Critique,"Problème technique critique sur la plateforme de formation en ligne, empêchant l'accès des employés et bloquant la formation des équipes. Les logs indiquent un arrêt complet du service. Intervention immédiate requise."
78,Problème d’accès / authentification,Demande d’assistance pour accès à l’outil de gestion RH,Élevée,L'utilisateur Sophie Lefèvre a un problème d'accès à l'outil RH via VPN avec un message d'erreur d'authentification. Elle a déjà tenté de réinitialiser son mot de passe mais le problème persiste. L'urgence est élevée car il s'agit d'un problème de connexion à un outil de gestion RH.
79,Bug ou dysfonctionnement d'un service,Bug dans la page de facturation du portail client,Modérée,"Le message d'Alexandre concerne un bug dans la page de facturation du portail client. Le bug ne bloque pas l'accès aux autres services, mais cela est gênant. Il est donc classé comme modéré."
80,Problème d’accès / authentification,Problème de connexion à l’imprimante réseau,Modérée,Problème de connexion à l’imprimante réseau signalé par Marie Curie. L’erreur 0x004 a été rencontrée. L’utilisateur a déjà redémarré son ordinateur sans résultat.
81,Demande administrative,Demande de copie de documents administratifs,Modérée,Demande de copie de contrat de travail pour dossier bancaire. Pas d'urgence.
82,Problème technique informatique,Surchauffe du rack serveur 3 – intervention urgente requise,Critique,"Problème technique critique sur le rack serveur 3 dans le data center, avec une température de 85°C et défaillance du réseau pour le département Finance. Il y a besoin d'une intervention immédiate pour éviter une perte de données."
83,Demande de support utilisateur,Installation de Photoshop CC 2024 sur poste de travail marketing,Modérée,Demande d'assistance pour l'installation de Photoshop CC 2024 sur un poste de travail de la division marketing. Il faut fournir une licence d'entreprise.
84,Bug ou dysfonctionnement d’un service,Erreur 500 sur le portail RH lors de la soumission des heures,Élevée,Le portail RH est en panne et empêche la saisie des heures pour ce mois. L'utilisateur a déjà essayé de vider le cache et de se reconnecter sans succès.
85,Problème d’accès / authentification,Problème de connexion VPN,Élevée,Le client a signalé un problème de connexion VPN avec un message d’erreur d’authentification. Il a déjà redémarré son ordinateur et vérifié son mot de passe. Il est nécessaire d'aider le client à résoudre ce problème.
86,Demande administrative,Demande de licence pour nouvelle imprimante,Modérée,Demande de licence pour une nouvelle imprimante HP LaserJet Pro MFP M428fdw pour remplacer l'imprimante actuelle hors service. Les démarches à suivre doivent être confirmées.
87,Problème technique informatique,Plantage du système de facturation en ligne,Critique,"Le système de facturation en ligne a planté, ce qui bloque les transactions et impacte directement le chiffre d'affaires. Une solution immédiate est nécessaire."
88,Problème technique informatique,Serveur de production hors ligne,Critique,L'équipe DevOps a signalé un problème technique critique avec le serveur de production (srv-prod-01) qui est hors ligne depuis 3h30. Les équipes de développement ne peuvent plus accéder aux bases de données. Il est urgent de redémarrer le service ou de restaurer le dernier backup.
89,Problème technique informatique,Bounces des e‑mails support,Élevée,Problème de délivrabilité des e-mails envoyés depuis l'adresse support@entreprise.com. Le code 550 5.1.1 a été renvoyé. Il est nécessaire de vérifier le problème.
90,Problème d’accès / authentification,Problème de connexion à Teams,Élevée,L'utilisateur Marie Curie a un problème de connexion à son compte Teams et a essayé de réinitialiser son mot de passe sans succès. Il est nécessaire de réactiver l'accès pour l'utilisateur.
91,Demande administrative,Demande de formulaire de congé,Faible,Demande de formulaire de congé annuel pour juillet. Le demandeur souhaite être informé de la manière de le recevoir ou d'être redirigé vers le portail RH.
92,Problème technique informatique,Faille de sécurité sur le site web,Critique,"Email concernant une faille de sécurité sur le site web, nécessitant une intervention immédiate pour protéger les informations des clients et la réputation de l'entreprise. Il est important de trouver la source de la faille et de la corriger rapidement."
93,Problème technique informatique,Problème technique avec le serveur de production,Critique,"Email concernant un problème critique avec le serveur de production, nécessitant une intervention immédiate pour résoudre le problème et minimiser les pertes."
94,Demande de support utilisateur,Demande de support pour un logiciel,Élevée,"Le client rencontre un problème avec le logiciel de gestion de projet, qui plante lorsqu'il essaie d'enregistrer un nouveau projet et perd toutes ses données. Il a déjà essayé de redémarrer l'application, mais le problème persiste. Il demande de l'aide pour résoudre ce problème ou de fournir une solution alternative."
95,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié que son mot de passe est correct, mais ne parvient pas à établir la connexion. Il demande de l'aide pour résoudre ce problème."
96,Demande administrative,Demande de renseignements sur les formations disponibles,Faible,"Demande de renseignements sur les formations en développement web. Le demandeur souhaite recevoir un catalogue des formations disponibles, leurs dates et tarifs."
97,Problème technique informatique,Urgent : serveur de messagerie hors service – impact sur l’ensemble de l’entreprise,Critique,"Problème critique avec le serveur de messagerie Exchange, impactant l'ensemble de l'entreprise. Il nécessite une intervention immédiate de l'équipe d'infrastructure."
98,Problème technique informatique,Impression réseau indisponible – problème technique critique,Critique,"Problème technique critique avec les imprimantes réseau HP LaserJet 4000. Les utilisateurs signalent l'impossibilité de se connecter à l'imprimante, ce qui bloque la production de documents essentiels. Une intervention immédiate est nécessaire pour restaurer la connectivité."
99,Bug ou dysfonctionnement d’un service,Bug : page d’accueil du portail intranet affiche une erreur 404,Élevée,Email de Sophie Martin concernant un bug sur le portail intranet qui empêche l'accès aux dernières communiqués internes. Il est nécessaire de vérifier le lien et de le corriger.
100,Problème d’accès / authentification,Problème d’accès VPN – mot de passe refusé,Modérée,Marc Leclerc a signalé un problème d'accès au VPN avec un message d'erreur 'Mot de passe incorrect'. Il a vérifié que son mot de passe est correct en se connectant à l'interface web interne. Il demande de vérifier si son compte est bloqué ou s'il y a un problème de synchronisation.
101,Demande administrative,Mise à jour de mon adresse e‑mail dans le système RH,Faible,Demande d'Alice Dupont pour mettre à jour son adresse e-mail dans le système RH de son entreprise. L'urgence est faible.
102,Problème technique informatique,Panne du serveur principal,Critique,"Email concernant une panne du serveur principal, nécessitant une intervention immédiate en raison de l'impact majeur sur les activités de l'entreprise."
103,Problème technique informatique,Problème technique avec l'imprimante réseau,Critique,Problème technique critique avec l'imprimante réseau. Il est nécessaire de réparer ou de remplacer l'imprimante le plus rapidement possible pour imprimer des documents urgents pour une réunion importante.
104,Bug ou dysfonctionnement d'un service,Bug sur le logiciel de gestion de projet,Élevée,Le message traite d'un bug sur le logiciel de gestion de projet qui impose une action urgente pour résoudre le problème et permettre à l'utilisateur de continuer son travail.
105,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,"Le client est en déplacement et a des difficultés à se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est certain d'avoir saisi correctement le mot de passe. Il a besoin d'accéder à ses documents en ligne, ce qui rend l'urgence élevée."
106,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. L'utilisateur souhaite en savoir plus sur les programmes proposés et les conditions d'inscription.
107,Problème technique informatique,Attaque de sécurité en cours : données sensibles compromises,Critique,Email concernant une attaque de sécurité en cours avec compromission de données sensibles. Il est nécessaire d'agir immédiatement pour contenir la menace et protéger les systèmes.
108,Problème technique informatique,Problème de serveur : impossibilité d'accéder aux données,Critique,Problème critique de serveur principal empêchant l'accès aux données essentielles pour le travail des équipes. Une intervention urgente est nécessaire pour résoudre ce problème.
109,Demande de support utilisateur,Demande de réinitialisation de mot de passe,Élevée,"Demande d'aide pour réinitialiser le mot de passe professionnel, urgence élevée car l'utilisateur a besoin d'accès à ses emails et aux outils de collaboration en ligne pour continuer à travailler."
110,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,Le client est en difficulté pour se connecter au réseau Wi-Fi de l'entreprise et a besoin d'aide urgente pour accéder à des documents en ligne.
111,Demande administrative,Demande de renseignement sur les formations disponibles,Faible,"Demande de renseignement sur les formations en développement web et en cybersécurité. Demandeur souhaite des détails sur les programmes, les dates et les coûts."
112,Problème technique informatique,Panne du serveur principal,Critique,"Email concernant une panne du serveur principal de l'entreprise, les services en ligne étant indisponibles et les employés ne pouvant pas travailler. L'urgence est critique car il s'agit d'un problème qui affecte la productivité de l'entreprise."
113,Problème d’accès / authentification,Problème d'accès à la base de données,Élevée,Problème d'accès à la base de données de l'entreprise. L'utilisateur ne peut pas se connecter avec ses identifiants habituels et ce problème bloque son travail. Il demande une aide pour résoudre ce problème rapidement.
114,Demande de support utilisateur,Demande de support pour un logiciel,Modérée,Demande de support pour un problème de gestion de projet sans exportation de données vers Excel. L'utilisateur a déjà consulté la documentation en ligne sans succès.
115,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a déjà redémarré son ordinateur portable et vérifié que le Wi-Fi est activé. Il demande de l'aide pour résoudre ce problème.
116,Demande administrative,Demande d'informations sur les formations disponibles,Faible,"Demande d'informations sur les formations disponibles en développement web et en gestion de projet. Le demandeur souhaite recevoir un catalogue des formations, les dates et les tarifs."
117,Problème technique informatique,Panne totale du serveur de messagerie interne,Critique,"Problème critique avec le serveur de messagerie interne, il est nécessaire d'envoyer un technicien sur site pour résoudre le problème."
118,Problème d’accès / authentification,Problème d'authentification sur le portail intranet,Élevée,L'utilisateur a un problème d'authentification sur le portail intranet. Il a déjà réinitialisé son mot de passe mais continue à avoir des problèmes d'identifiant ou de mot de passe invalide. Il a essayé sur plusieurs navigateurs.
119,Bug ou dysfonctionnement d'un service,Bug dans le tableau de bord de reporting,Élevée,"Email concernant un bug dans le tableau de bord de reporting, avec une urgence élevée car il y a une erreur de calcul qui affecte les données."
120,Problème technique informatique,Imprimante réseau du bureau 3 hors service,Élevée,Problème avec l'imprimante réseau du bureau 3. L'appareil ne répond plus depuis le matin et affiche un message d'erreur 'Échec de la connexion'. L'utilisateur a essayé de redémarrer l'appareil et de réinstaller le pilote sans succès.
121,Demande administrative,Demande de mise à jour des coordonnées personnelles,Faible,Demande de mise à jour des coordonnées personnelles dans le système RH. L'adresse e-mail actuelle est celle de l'ancien poste.
122,Problème technique informatique,Panne du système de gestion de production,Critique,"Email concernant une panne du système de gestion de production, nécessitant une intervention immédiate pour éviter des pertes importantes. Catégorie : Problème technique informatique, urgence : Critique."
123,Problème d'accès / authentification,Problème d'accès aux données confidentielles,Critique,Problème critique de sécurité : certaines données confidentielles sont accessibles à des personnes non autorisées. Il est nécessaire de prendre des mesures immédiates pour résoudre ce problème et assurer la confidentialité de nos données.
124,Demande de support utilisateur,Demande de support pour un logiciel,Modérée,Demande de support pour un logiciel spécifique. L'utilisateur a suivi les tutoriels en ligne mais rencontre toujours des difficultés. Il demande de l'aide supplémentaire ou d'être mis en contact avec quelqu'un qui pourrait l'aider.
125,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et son mot de passe, mais ne parvient pas à établir de connexion. Il demande de l'aide pour résoudre ce problème."
126,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. Le demandeur souhaite recevoir un catalogue ou un lien vers le site web de l'entreprise pour trouver ces informations.
127,Problème technique informatique,Panne du serveur principal,Critique,"Email concernant une panne du serveur principal, nécessitant une intervention immédiate pour rétablir le fonctionnement."
128,Problème d'accès / authentification,Problème d'accès aux données sensibles,Élevée,Problème d'accès aux données sensibles de l'entreprise. Il est nécessaire de restaurer les droits d'accès de l'utilisateur le plus rapidement possible.
